epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.358,0.75027,2.39051,1.06497,0.83079,0.57704,0.81021,0.64904,0.74013,2.13969,1.0026,0.000411822,0.000411822,0.000411822
2,303.504,0.77312,1.22859,1.1099,0.75715,0.75384,0.81887,0.68711,0.61634,1.29238,0.94112,0.000664448,0.000664448,0.000664448
3,446.21,0.72488,1.07248,1.09137,0.78441,0.83748,0.89043,0.727,0.67795,1.04749,0.9784,0.000752074,0.000752074,0.000752074
4,589.782,0.71142,0.9785,1.07913,0.94215,0.91386,0.95933,0.84135,0.51902,0.71085,0.89755,0.0005075,0.0005075,0.0005075
5,736.543,0.63337,0.85136,1.04938,0.95287,0.93205,0.97303,0.87629,0.45215,0.60002,0.87,0.00026,0.00026,0.00026
